date_key,month_start,year,quarter,month,year_month,era_pre_2012,split
1,2007-06-01,2007,2,6,2007-06,1,train
2,2007-07-01,2007,3,7,2007-07,1,train
3,2007-08-01,2007,3,8,2007-08,1,train
4,2007-09-01,2007,3,9,2007-09,1,train
5,2007-10-01,2007,4,10,2007-10,1,train
6,2007-11-01,2007,4,11,2007-11,1,train
7,2007-12-01,2007,4,12,2007-12,1,train
8,2008-01-01,2008,1,1,2008-01,1,train
9,2008-02-01,2008,1,2,2008-02,1,train
10,2008-03-01,2008,1,3,2008-03,1,train
11,2008-04-01,2008,2,4,2008-04,1,train
12,2008-05-01,2008,2,5,2008-05,1,train
13,2008-06-01,2008,2,6,2008-06,1,train
14,2008-07-01,2008,3,7,2008-07,1,train
15,2008-08-01,2008,3,8,2008-08,1,train
16,2008-09-01,2008,3,9,2008-09,1,train
17,2008-10-01,2008,4,10,2008-10,1,train
18,2008-11-01,2008,4,11,2008-11,1,train
19,2008-12-01,2008,4,12,2008-12,1,train
20,2009-01-01,2009,1,1,2009-01,1,train
21,2009-02-01,2009,1,2,2009-02,1,train
22,2009-03-01,2009,1,3,2009-03,1,train
23,2009-04-01,2009,2,4,2009-04,1,train
24,2009-05-01,2009,2,5,2009-05,1,train
25,2009-06-01,2009,2,6,2009-06,1,train
26,2009-07-01,2009,3,7,2009-07,1,train
27,2009-08-01,2009,3,8,2009-08,1,train
28,2009-09-01,2009,3,9,2009-09,1,train
29,2009-10-01,2009,4,10,2009-10,1,train
30,2009-11-01,2009,4,11,2009-11,1,train
31,2009-12-01,2009,4,12,2009-12,1,train
32,2010-01-01,2010,1,1,2010-01,1,train
33,2010-02-01,2010,1,2,2010-02,1,train
34,2010-03-01,2010,1,3,2010-03,1,train
35,2010-04-01,2010,2,4,2010-04,1,train
36,2010-05-01,2010,2,5,2010-05,1,train
37,2010-06-01,2010,2,6,2010-06,1,train
38,2010-07-01,2010,3,7,2010-07,1,train
39,2010-08-01,2010,3,8,2010-08,1,train
40,2010-09-01,2010,3,9,2010-09,1,train
41,2010-10-01,2010,4,10,2010-10,1,train
42,2010-11-01,2010,4,11,2010-11,1,train
43,2010-12-01,2010,4,12,2010-12,1,train
44,2011-01-01,2011,1,1,2011-01,1,train
45,2011-02-01,2011,1,2,2011-02,1,train
46,2011-03-01,2011,1,3,2011-03,1,train
47,2011-04-01,2011,2,4,2011-04,1,train
48,2011-05-01,2011,2,5,2011-05,1,train
49,2011-06-01,2011,2,6,2011-06,1,train
50,2011-07-01,2011,3,7,2011-07,1,train
51,2011-08-01,2011,3,8,2011-08,1,train
52,2011-09-01,2011,3,9,2011-09,1,train
53,2011-10-01,2011,4,10,2011-10,1,train
54,2011-11-01,2011,4,11,2011-11,1,train
55,2011-12-01,2011,4,12,2011-12,1,train
56,2012-01-01,2012,1,1,2012-01,0,train
57,2012-02-01,2012,1,2,2012-02,0,train
58,2012-03-01,2012,1,3,2012-03,0,train
59,2012-04-01,2012,2,4,2012-04,0,train
60,2012-05-01,2012,2,5,2012-05,0,train
61,2012-06-01,2012,2,6,2012-06,0,train
62,2012-07-01,2012,3,7,2012-07,0,train
63,2012-08-01,2012,3,8,2012-08,0,train
64,2012-09-01,2012,3,9,2012-09,0,train
65,2012-10-01,2012,4,10,2012-10,0,train
66,2012-11-01,2012,4,11,2012-11,0,train
67,2012-12-01,2012,4,12,2012-12,0,train
68,2013-01-01,2013,1,1,2013-01,0,train
69,2013-02-01,2013,1,2,2013-02,0,train
70,2013-03-01,2013,1,3,2013-03,0,train
71,2013-04-01,2013,2,4,2013-04,0,train
72,2013-05-01,2013,2,5,2013-05,0,train
73,2013-06-01,2013,2,6,2013-06,0,train
74,2013-07-01,2013,3,7,2013-07,0,train
75,2013-08-01,2013,3,8,2013-08,0,train
76,2013-09-01,2013,3,9,2013-09,0,train
77,2013-10-01,2013,4,10,2013-10,0,train
78,2013-11-01,2013,4,11,2013-11,0,train
79,2013-12-01,2013,4,12,2013-12,0,train
80,2014-01-01,2014,1,1,2014-01,0,validation
81,2014-02-01,2014,1,2,2014-02,0,validation
82,2014-03-01,2014,1,3,2014-03,0,validation
83,2014-04-01,2014,2,4,2014-04,0,validation
84,2014-05-01,2014,2,5,2014-05,0,validation
85,2014-06-01,2014,2,6,2014-06,0,validation
86,2014-07-01,2014,3,7,2014-07,0,validation
87,2014-08-01,2014,3,8,2014-08,0,validation
88,2014-09-01,2014,3,9,2014-09,0,validation
89,2014-10-01,2014,4,10,2014-10,0,validation
90,2014-11-01,2014,4,11,2014-11,0,validation
91,2014-12-01,2014,4,12,2014-12,0,validation
92,2015-01-01,2015,1,1,2015-01,0,test
93,2015-02-01,2015,1,2,2015-02,0,test
94,2015-03-01,2015,1,3,2015-03,0,test
95,2015-04-01,2015,2,4,2015-04,0,test
96,2015-05-01,2015,2,5,2015-05,0,test
97,2015-06-01,2015,2,6,2015-06,0,test
98,2015-07-01,2015,3,7,2015-07,0,test
99,2015-08-01,2015,3,8,2015-08,0,test
100,2015-09-01,2015,3,9,2015-09,0,test
101,2015-10-01,2015,4,10,2015-10,0,test
102,2015-11-01,2015,4,11,2015-11,0,test
103,2015-12-01,2015,4,12,2015-12,0,test
