loan_amnt,funded_amnt,term,int_rate,installment,grade,sub_grade,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,dti,delinq_2yrs,earliest_cr_line,fico_range_low,fico_range_high,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,total_rec_prncp,collections_12_mths_ex_med,mths_since_last_major_derog,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,il_util,total_rev_hi_lim,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,target,emp_length_anos,mths_since_last_delinq_missing,mths_since_last_record_missing,mths_since_recent_bc_dlq_missing,mths_since_recent_revol_delinq_missing,mths_since_last_major_derog_missing,emp_length_missing,era_pre_2012
28000.0,28000.0,36.0,7.62,872.52,a,a3,own,90000.0,source verified,2013-08-01,Fully Paid,debt_consolidation,25.8,0.0,1997-08-01,770.0,774.0,0.0,999.0,999.0,7.0,0.0,98973.0,29.2,29.0,f,28000.0,0.0,999.0,individual,,,,0.0,0.0,125935.0,,162000.0,3.0,17991.0,14285.0,35.1,0.0,0.0,122.0,194.0,42.0,16.0,1.0,42.0,999.0,15.0,999.0,0.0,2.0,4.0,2.0,9.0,13.0,4.0,13.0,4.0,7.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,219369.0,125935.0,22000.0,57369.0,0,8.0,1,1,1,1,1,0,0
28825.0,28825.0,60.0,22.95,811.77,f,f1,mortgage,74184.0,source verified,2012-12-01,Fully Paid,debt_consolidation,24.54,0.0,1997-11-01,675.0,679.0,2.0,999.0,999.0,18.0,0.0,23513.0,78.6,34.0,w,28825.0,0.0,999.0,individual,,,,0.0,0.0,374548.0,,29900.0,10.0,20808.0,3388.0,70.3,0.0,0.0,91.0,183.0,6.0,6.0,3.0,6.0,999.0,6.0,999.0,0.0,6.0,14.0,6.0,14.0,8.0,14.0,23.0,14.0,18.0,0.0,0.0,0.0,6.0,100.0,50.0,0.0,0.0,389680.0,47297.0,11400.0,30759.0,0,10.0,1,1,1,1,1,0,0
11100.0,11100.0,60.0,16.2,271.12,c,c4,rent,53000.0,verified,2013-10-01,Fully Paid,debt_consolidation,6.72,0.0,2007-02-01,680.0,684.0,0.0,65.0,999.0,9.0,0.0,7611.0,25.0,17.0,f,11100.0,0.0,999.0,individual,,,,0.0,328.0,12358.0,,30500.0,4.0,1373.0,20295.0,26.7,0.0,0.0,32.0,80.0,2.0,2.0,0.0,11.0,67.0,11.0,65.0,0.0,1.0,3.0,3.0,9.0,3.0,6.0,14.0,3.0,9.0,0.0,0.0,0.0,3.0,87.0,33.3,0.0,0.0,37068.0,12358.0,27700.0,6568.0,0,1.0,0,1,0,0,1,0,0
6825.0,6825.0,36.0,7.62,212.68,a,a3,mortgage,35526.0,not verified,2013-05-01,Fully Paid,credit_card,13.0,0.0,2003-10-01,725.0,729.0,0.0,60.0,999.0,7.0,0.0,8406.0,32.5,12.0,f,6825.0,0.0,999.0,individual,,,,0.0,0.0,161970.0,,25900.0,2.0,23139.0,1600.0,0.0,0.0,0.0,116.0,107.0,21.0,7.0,1.0,107.0,60.0,8.0,60.0,0.0,0.0,2.0,1.0,2.0,3.0,5.0,8.0,2.0,7.0,0.0,0.0,0.0,1.0,91.0,0.0,0.0,0.0,188727.0,13604.0,1600.0,13178.0,0,1.0,0,1,0,0,1,0,0
15500.0,15500.0,36.0,13.65,527.13,c,c1,mortgage,115000.0,not verified,2014-02-01,Fully Paid,debt_consolidation,25.19,0.0,1995-04-01,675.0,679.0,1.0,79.0,999.0,10.0,0.0,6229.0,41.8,34.0,f,15500.0,0.0,79.0,individual,,,,0.0,3673.0,113414.0,,14900.0,9.0,11341.0,1007.0,84.3,0.0,0.0,145.0,226.0,7.0,7.0,2.0,131.0,79.0,4.0,79.0,1.0,2.0,4.0,2.0,3.0,21.0,5.0,11.0,4.0,10.0,0.0,0.0,0.0,3.0,97.1,50.0,0.0,0.0,147448.0,113414.0,6400.0,132548.0,0,6.0,0,1,0,0,0,0,0
12000.0,12000.0,36.0,11.67,396.69,b,b4,mortgage,44880.0,verified,2014-07-01,Fully Paid,debt_consolidation,21.26,0.0,1996-01-01,660.0,664.0,0.0,999.0,999.0,12.0,0.0,12562.0,71.0,21.0,f,12000.0,0.0,999.0,individual,,,,0.0,2037.0,115807.0,,17700.0,7.0,9651.0,3076.0,77.2,0.0,0.0,143.0,222.0,8.0,8.0,3.0,17.0,999.0,8.0,999.0,0.0,7.0,10.0,7.0,8.0,4.0,10.0,14.0,10.0,12.0,0.0,0.0,0.0,2.0,100.0,57.1,0.0,0.0,125871.0,30951.0,13500.0,21204.0,0,-1.0,1,1,1,1,1,1,0
5400.0,5400.0,36.0,13.33,182.81,c,c3,own,35000.0,source verified,2015-10-01,Fully Paid,debt_consolidation,13.8,1.0,1995-08-01,695.0,699.0,0.0,0.0,19.0,5.0,3.0,2176.0,23.7,28.0,w,5400.0,0.0,999.0,individual,,,,1.0,0.0,9423.0,,9200.0,6.0,1885.0,4449.0,32.6,0.0,0.0,242.0,202.0,6.0,6.0,0.0,38.0,999.0,12.0,0.0,0.0,1.0,2.0,2.0,3.0,4.0,4.0,24.0,2.0,5.0,0.0,1.0,0.0,4.0,92.9,0.0,0.0,3.0,17600.0,9423.0,6600.0,8400.0,0,3.0,0,0,1,0,1,0,0
24650.0,24650.0,36.0,14.49,848.36,c,c4,mortgage,65000.0,verified,2014-10-01,Fully Paid,debt_consolidation,23.87,3.0,1996-03-01,705.0,709.0,0.0,15.0,999.0,14.0,0.0,11555.0,46.2,33.0,w,24650.0,0.0,40.0,individual,,,,0.0,0.0,28316.0,,25000.0,2.0,2360.0,279.0,96.2,0.0,0.0,195.0,222.0,4.0,4.0,2.0,52.0,15.0,7.0,15.0,0.0,3.0,6.0,3.0,6.0,8.0,11.0,23.0,6.0,14.0,0.0,0.0,0.0,1.0,84.8,66.7,0.0,0.0,67953.0,28316.0,7400.0,42953.0,0,3.0,0,1,0,0,0,0,0
7550.0,7550.0,36.0,10.16,244.19,b,b1,mortgage,100000.0,source verified,2012-08-01,Fully Paid,debt_consolidation,3.83,0.0,1990-10-01,710.0,714.0,0.0,999.0,999.0,10.0,0.0,10204.0,60.0,21.0,f,7550.0,0.0,999.0,individual,,,,0.0,0.0,260893.0,,17000.0,2.0,28988.0,5031.0,57.4,0.0,0.0,48.0,266.0,9.0,9.0,6.0,9.0,999.0,9.0,999.0,0.0,3.0,6.0,4.0,6.0,1.0,8.0,14.0,6.0,10.0,0.0,0.0,0.0,2.0,100.0,0.0,0.0,0.0,270000.0,15204.0,11800.0,5000.0,0,2.0,1,1,1,1,1,0,0
3200.0,3200.0,36.0,6.89,98.65,a,a3,own,30030.0,source verified,2015-10-01,Fully Paid,credit_card,18.84,0.0,2002-04-01,690.0,694.0,0.0,75.0,999.0,12.0,0.0,13290.0,60.7,20.0,f,3200.0,0.0,76.0,individual,,,,0.0,0.0,13290.0,,21900.0,1.0,1108.0,3308.0,75.3,0.0,0.0,,162.0,23.0,23.0,0.0,41.0,75.0,,75.0,1.0,6.0,12.0,6.0,12.0,0.0,12.0,20.0,12.0,12.0,0.0,0.0,0.0,0.0,85.0,50.0,0.0,0.0,21900.0,13290.0,13400.0,0.0,0,2.0,0,1,0,0,0,0,0
7500.0,7500.0,36.0,11.99,249.08,b,b3,own,49140.0,not verified,2013-12-01,Fully Paid,debt_consolidation,5.93,0.0,2010-02-01,675.0,679.0,0.0,999.0,999.0,8.0,0.0,7942.0,66.7,11.0,f,7500.0,0.0,999.0,individual,,,,0.0,0.0,159069.0,,11900.0,4.0,19884.0,2778.0,67.7,0.0,0.0,38.0,46.0,4.0,4.0,1.0,6.0,999.0,21.0,999.0,0.0,4.0,7.0,4.0,4.0,2.0,7.0,8.0,7.0,8.0,0.0,0.0,0.0,2.0,100.0,50.0,0.0,0.0,167440.0,7942.0,8600.0,0.0,0,9.0,1,1,1,1,1,0,0
10000.0,10000.0,36.0,7.26,309.97,a,a4,mortgage,62000.0,not verified,2015-07-01,Fully Paid,credit_card,20.48,0.0,2001-01-01,700.0,704.0,0.0,70.0,999.0,20.0,0.0,26697.0,40.9,44.0,w,10000.0,0.0,73.0,individual,,,,0.0,0.0,154171.0,,65200.0,7.0,8114.0,20183.0,51.0,0.0,0.0,132.0,174.0,11.0,9.0,1.0,11.0,70.0,20.0,70.0,1.0,6.0,11.0,9.0,21.0,6.0,17.0,37.0,11.0,20.0,0.0,0.0,0.0,2.0,95.3,44.4,0.0,0.0,216425.0,48166.0,41200.0,35564.0,0,2.0,0,1,0,0,0,0,0
17500.0,17500.0,36.0,9.17,557.89,b,b2,rent,53000.0,verified,2015-02-01,Fully Paid,home_improvement,26.77,0.0,2001-05-01,695.0,699.0,0.0,999.0,31.0,21.0,1.0,7397.0,10.0,55.0,w,17500.0,0.0,999.0,individual,,,,0.0,0.0,27106.0,,74100.0,10.0,1506.0,33808.0,16.9,0.0,0.0,103.0,165.0,3.0,3.0,0.0,5.0,999.0,5.0,999.0,0.0,2.0,3.0,7.0,17.0,14.0,19.0,41.0,3.0,21.0,0.0,0.0,0.0,5.0,100.0,0.0,0.0,1.0,107256.0,27106.0,40700.0,33156.0,0,4.0,1,0,1,1,1,0,0
15000.0,15000.0,36.0,13.33,507.8,c,c3,own,80000.0,not verified,2015-07-01,Fully Paid,debt_consolidation,27.33,0.0,2007-05-01,670.0,674.0,2.0,58.0,999.0,20.0,0.0,14880.0,54.0,26.0,w,15000.0,0.0,999.0,individual,,,,0.0,0.0,40023.0,,27550.0,6.0,2354.0,2293.0,77.0,0.0,0.0,23.0,98.0,5.0,5.0,0.0,9.0,999.0,5.0,58.0,0.0,7.0,13.0,7.0,7.0,4.0,13.0,21.0,11.0,17.0,,0.0,0.0,3.0,88.0,71.4,0.0,0.0,69885.0,40023.0,16050.0,34438.0,0,3.0,0,1,1,0,1,0,0
