coluna,primeiro_mes_com_dado,ultimo_mes_com_dado,ano_nascimento,%nulo_no_ano_nascimento,ano_ultimo_dado,%nulo_no_ultimo_ano
id,2007-06-01,2018-12-01,2007.0,0.0,2018.0,0.0
delinq_amnt,2007-06-01,2018-12-01,2007.0,4.81,2018.0,0.0
revol_bal,2007-06-01,2018-12-01,2007.0,0.0,2018.0,0.0
revol_util,2007-06-01,2018-12-01,2007.0,5.31,2018.0,0.12
total_acc,2007-06-01,2018-12-01,2007.0,4.81,2018.0,0.0
initial_list_status,2007-06-01,2018-12-01,2007.0,0.0,2018.0,0.0
out_prncp,2007-06-01,2018-12-01,2007.0,0.0,2018.0,0.0
out_prncp_inv,2007-06-01,2018-12-01,2007.0,0.0,2018.0,0.0
total_pymnt,2007-06-01,2018-12-01,2007.0,0.0,2018.0,0.0
total_pymnt_inv,2007-06-01,2018-12-01,2007.0,0.0,2018.0,0.0
total_rec_prncp,2007-06-01,2018-12-01,2007.0,0.0,2018.0,0.0
total_rec_int,2007-06-01,2018-12-01,2007.0,0.0,2018.0,0.0
total_rec_late_fee,2007-06-01,2018-12-01,2007.0,0.0,2018.0,0.0
open_acc,2007-06-01,2018-12-01,2007.0,4.81,2018.0,0.0
recoveries,2007-06-01,2018-12-01,2007.0,0.0,2018.0,0.0
last_pymnt_d,2007-06-01,2018-12-01,2007.0,0.0,2018.0,0.13
last_pymnt_amnt,2007-06-01,2018-12-01,2007.0,0.0,2018.0,0.0
next_pymnt_d,2007-06-01,2018-12-01,2007.0,41.63,2018.0,11.37
last_credit_pull_d,2007-06-01,2018-12-01,2007.0,0.5,2018.0,0.0
last_fico_range_high,2007-06-01,2018-12-01,2007.0,0.0,2018.0,0.0
last_fico_range_low,2007-06-01,2018-12-01,2007.0,0.0,2018.0,0.0
policy_code,2007-06-01,2018-12-01,2007.0,0.0,2018.0,0.0
application_type,2007-06-01,2018-12-01,2007.0,0.0,2018.0,0.0
debt_settlement_flag,2007-06-01,2018-12-01,2007.0,0.0,2018.0,0.0
acc_now_delinq,2007-06-01,2018-12-01,2007.0,4.81,2018.0,0.0
disbursement_method,2007-06-01,2018-12-01,2007.0,0.0,2018.0,0.0
hardship_flag,2007-06-01,2018-12-01,2007.0,0.0,2018.0,0.0
collection_recovery_fee,2007-06-01,2018-12-01,2007.0,0.0,2018.0,0.0
mths_since_last_record,2007-06-01,2018-12-01,2007.0,6.97,2018.0,87.28
pub_rec,2007-06-01,2018-12-01,2007.0,4.81,2018.0,0.0
inq_last_6mths,2007-06-01,2018-12-01,2007.0,4.81,2018.0,0.0
loan_amnt,2007-06-01,2018-12-01,2007.0,0.0,2018.0,0.0
funded_amnt,2007-06-01,2018-12-01,2007.0,0.0,2018.0,0.0
funded_amnt_inv,2007-06-01,2018-12-01,2007.0,0.0,2018.0,0.0
term,2007-06-01,2018-12-01,2007.0,0.0,2018.0,0.0
int_rate,2007-06-01,2018-12-01,2007.0,0.0,2018.0,0.0
installment,2007-06-01,2018-12-01,2007.0,0.0,2018.0,0.0
grade,2007-06-01,2018-12-01,2007.0,0.0,2018.0,0.0
sub_grade,2007-06-01,2018-12-01,2007.0,0.0,2018.0,0.0
emp_title,2007-06-01,2018-12-01,2007.0,8.96,2018.0,11.04
emp_length,2007-06-01,2018-12-01,2007.0,0.0,2018.0,8.48
mths_since_last_delinq,2007-06-01,2018-12-01,2007.0,6.47,2018.0,55.86
annual_inc,2007-06-01,2018-12-01,2007.0,0.66,2018.0,0.0
verification_status,2007-06-01,2018-12-01,2007.0,0.0,2018.0,0.0
home_ownership,2007-06-01,2018-12-01,2007.0,0.0,2018.0,0.0
loan_status,2007-06-01,2018-12-01,2007.0,0.0,2018.0,0.0
fico_range_high,2007-06-01,2018-12-01,2007.0,0.0,2018.0,0.0
fico_range_low,2007-06-01,2018-12-01,2007.0,0.0,2018.0,0.0
earliest_cr_line,2007-06-01,2018-12-01,2007.0,4.81,2018.0,0.0
delinq_2yrs,2007-06-01,2018-12-01,2007.0,4.81,2018.0,0.0
