dimension,segment,n,default_rate_pct,auc_roc,mean_income
grade,A,70100,5.423680456490727,0.6476782460504751,
grade,B,91645,11.894811500900213,0.6048420840208626,
grade,C,77348,19.443295237110203,0.5965444564424376,
grade,D,32668,26.21219542059508,0.5889128063670408,
grade,E,9424,32.841680814940574,0.5817905678683477,
grade,F,1358,42.415316642120764,0.5877690750213128,
grade,G,244,46.31147540983606,0.5853543200702559,
income_quartile,Q1,71696,19.090325820129436,0.6479760531209433,32845.43607397903
income_quartile,Q2,71580,15.558815311539536,0.6721946957281112,52951.70657571947
income_quartile,Q3,72906,13.620278166406058,0.6881242735287767,75405.85762968755
income_quartile,Q4,66605,11.012686735230087,0.6974144387250056,141671.98151565195
