quarter,feature,psi,band,n_baseline,n_quarter
2007Q2,model_score,12.433828351892359,unstable,172988,1
2007Q2,fico_range_low,11.78437855054213,unstable,172988,1
2007Q2,installment_to_income,12.433828352560717,unstable,172988,1
2007Q2,annual_inc,12.377950376028071,unstable,172988,1
2007Q2,dti,12.433554273650211,unstable,172988,1
2007Q2,revol_util,12.414736483676009,unstable,172988,1
2007Q2,inq_last_6mths,2.431387724136737,unstable,172988,1
2007Q3,model_score,0.15442952366036064,attention,172988,81
2007Q3,fico_range_low,0.7965517393850725,unstable,172988,81
2007Q3,installment_to_income,1.053019350885837,unstable,172988,81
2007Q3,annual_inc,0.3148700170165481,unstable,172988,81
2007Q3,dti,3.993981302705413,unstable,172988,81
2007Q3,revol_util,1.10661906772403,unstable,172988,81
2007Q3,inq_last_6mths,0.02726334639657214,stable,172988,81
2007Q4,model_score,0.40670691957586846,unstable,172988,169
2007Q4,fico_range_low,0.13766052204350632,attention,172988,169
2007Q4,installment_to_income,0.1690330576580579,attention,172988,169
2007Q4,annual_inc,0.09336408845921458,stable,172988,169
2007Q4,dti,1.4515626305601728,unstable,172988,169
2007Q4,revol_util,0.3289421456331265,unstable,172988,169
2007Q4,inq_last_6mths,0.08242571117888778,stable,172988,169
2008Q1,model_score,0.24831588752184194,attention,172988,581
2008Q1,fico_range_low,0.1013232920282827,attention,172988,581
2008Q1,installment_to_income,0.03439665247785666,stable,172988,581
2008Q1,annual_inc,0.054045305265474915,stable,172988,581
2008Q1,dti,1.4032755944435207,unstable,172988,581
2008Q1,revol_util,0.2699418180943609,unstable,172988,581
2008Q1,inq_last_6mths,0.030383209249720218,stable,172988,581
2008Q2,model_score,0.11946930337339198,attention,172988,292
2008Q2,fico_range_low,0.09206168198983247,stable,172988,292
2008Q2,installment_to_income,0.7672912874621304,unstable,172988,292
2008Q2,annual_inc,0.11654396512817396,attention,172988,292
2008Q2,dti,0.4795793618177644,unstable,172988,292
2008Q2,revol_util,0.20269544187157712,attention,172988,292
2008Q2,inq_last_6mths,0.03957610285330795,stable,172988,292
2008Q3,model_score,0.2708913893535323,unstable,172988,186
2008Q3,fico_range_low,0.07360752752203584,stable,172988,186
2008Q3,installment_to_income,1.8303757508452045,unstable,172988,186
2008Q3,annual_inc,0.1576914993011475,attention,172988,186
2008Q3,dti,0.4275001867507819,unstable,172988,186
2008Q3,revol_util,0.27082255564891755,unstable,172988,186
2008Q3,inq_last_6mths,0.0720354768582563,stable,172988,186
2008Q4,model_score,0.13008723206189735,attention,172988,503
2008Q4,fico_range_low,0.16084918240689375,attention,172988,503
2008Q4,installment_to_income,0.2072655546977053,attention,172988,503
2008Q4,annual_inc,0.009003157905322062,stable,172988,503
2008Q4,dti,1.2812494308362308,unstable,172988,503
2008Q4,revol_util,0.28178011977468165,unstable,172988,503
2008Q4,inq_last_6mths,0.04934218399335068,stable,172988,503
2009Q1,model_score,0.049463956453577186,stable,172988,775
2009Q1,fico_range_low,0.16081675828536213,attention,172988,775
2009Q1,installment_to_income,0.08039898523430569,stable,172988,775
2009Q1,annual_inc,0.026049902908851646,stable,172988,775
2009Q1,dti,1.270676418742853,unstable,172988,775
2009Q1,revol_util,0.23572705301698166,attention,172988,775
2009Q1,inq_last_6mths,0.04321279279510416,stable,172988,775
