variant,comparison_split,feature,kind,psi,band,n_bins,n_baseline,n_comparison
clean,validation,funded_amnt,numeric,0.014248045797521581,stable,10,121342,162570
clean,validation,home_ownership,categorical,0.006706679339920497,stable,4,121342,162570
clean,validation,annual_inc,numeric,0.003257620271232365,stable,10,121342,162570
clean,validation,verification_status,categorical,0.16749306663402422,attention,3,121342,162570
clean,validation,issue_d,numeric,12.674324833007141,unstable,10,121342,162570
clean,validation,purpose,categorical,0.0026234279732100796,stable,11,121342,162570
clean,validation,dti,numeric,0.006935702714886909,stable,10,121342,162570
clean,validation,delinq_2yrs,numeric,0.009003889708940227,stable,2,121342,162570
clean,validation,earliest_cr_line,numeric,0.009843980276221473,stable,10,121342,162570
clean,validation,fico_range_low,numeric,0.03252195919582729,stable,10,121342,162570
clean,validation,inq_last_6mths,numeric,0.0014651578541642627,stable,3,121342,162570
clean,validation,mths_since_last_delinq,numeric,0.02253260824402933,stable,10,121342,162570
clean,validation,mths_since_last_record,numeric,0.12905388612945323,attention,10,121342,162570
clean,validation,open_acc,numeric,0.010291209569285956,stable,10,121342,162570
clean,validation,pub_rec,numeric,0.023346648799506327,stable,2,121342,162570
clean,validation,revol_bal,numeric,0.030074255683848004,stable,10,121342,162570
clean,validation,revol_util,numeric,0.03088387821552162,stable,10,121342,162570
clean,validation,total_acc,numeric,0.009919611406924614,stable,10,121342,162570
clean,validation,initial_list_status,categorical,0.21932759148937814,attention,2,121342,162570
clean,validation,collections_12_mths_ex_med,numeric,0.0,stable,1,121342,162570
clean,validation,mths_since_last_major_derog,numeric,0.04306778027298744,stable,10,121342,162570
clean,validation,application_type,categorical,0.0,stable,1,121342,162570
clean,validation,acc_now_delinq,numeric,0.0,stable,1,121342,162570
clean,validation,tot_coll_amt,numeric,0.0,stable,1,121342,162570
clean,validation,tot_cur_bal,numeric,0.0039243512242177515,stable,10,121342,162570
clean,validation,total_rev_hi_lim,numeric,0.01390047543533385,stable,10,121342,162570
clean,validation,acc_open_past_24mths,numeric,0.03215795212997721,stable,8,121342,162570
clean,validation,avg_cur_bal,numeric,0.004245927298298689,stable,10,121342,162570
clean,validation,bc_open_to_buy,numeric,0.000894050911513476,stable,10,121342,162570
clean,validation,bc_util,numeric,0.014891061473454486,stable,10,121342,162570
clean,validation,chargeoff_within_12_mths,numeric,0.0,stable,1,121342,162570
clean,validation,delinq_amnt,numeric,0.0,stable,1,121342,162570
clean,validation,mo_sin_old_il_acct,numeric,0.011183912059303703,stable,10,121342,162570
clean,validation,mo_sin_old_rev_tl_op,numeric,0.01174812652545302,stable,10,121342,162570
clean,validation,mo_sin_rcnt_rev_tl_op,numeric,0.015416251343896922,stable,10,121342,162570
clean,validation,mo_sin_rcnt_tl,numeric,0.01776355242215719,stable,10,121342,162570
clean,validation,mort_acc,numeric,0.001387405973741912,stable,5,121342,162570
clean,validation,mths_since_recent_bc,numeric,0.03135618287399836,stable,10,121342,162570
clean,validation,mths_since_recent_bc_dlq,numeric,0.010414441897680964,stable,10,121342,162570
clean,validation,mths_since_recent_inq,numeric,0.006866571410257835,stable,10,121342,162570
clean,validation,mths_since_recent_revol_delinq,numeric,0.016816185845527312,stable,10,121342,162570
clean,validation,num_accts_ever_120_pd,numeric,0.020677546115512136,stable,2,121342,162570
clean,validation,num_actv_bc_tl,numeric,0.00604023298747097,stable,7,121342,162570
clean,validation,num_actv_rev_tl,numeric,0.0023780875953971314,stable,9,121342,162570
clean,validation,num_bc_sats,numeric,0.008995412396189019,stable,7,121342,162570
clean,validation,num_bc_tl,numeric,0.01587461331691234,stable,10,121342,162570
clean,validation,num_il_tl,numeric,0.014287467315188195,stable,10,121342,162570
clean,validation,num_op_rev_tl,numeric,0.007137889542381878,stable,9,121342,162570
clean,validation,num_rev_accts,numeric,0.008529377221219934,stable,10,121342,162570
clean,validation,num_rev_tl_bal_gt_0,numeric,0.0023427648758484643,stable,9,121342,162570
clean,validation,num_sats,numeric,0.009875493201946885,stable,10,121342,162570
clean,validation,num_tl_120dpd_2m,numeric,0.0004636753742590649,stable,2,121342,162570
clean,validation,num_tl_30dpd,numeric,0.0,stable,1,121342,162570
clean,validation,num_tl_90g_dpd_24m,numeric,0.0,stable,1,121342,162570
clean,validation,num_tl_op_past_12m,numeric,0.02460458590092897,stable,5,121342,162570
clean,validation,pct_tl_nvr_dlq,numeric,0.01635831973019402,stable,5,121342,162570
clean,validation,percent_bc_gt_75,numeric,0.018341952362376457,stable,8,121342,162570
clean,validation,pub_rec_bankruptcies,numeric,0.0,stable,1,121342,162570
