variant,comparison_split,feature,kind,psi,band,n_bins,n_baseline,n_comparison
raw,validation,funded_amnt,numeric,0.014267256350610054,stable,10,172988,162570
raw,validation,home_ownership,categorical,0.008905972978144626,stable,4,172988,162570
raw,validation,annual_inc,numeric,0.005014917311520179,stable,10,172988,162570
raw,validation,verification_status,categorical,0.12257667801538559,attention,3,172988,162570
raw,validation,issue_d,numeric,13.386611248313482,unstable,10,172988,162570
raw,validation,purpose,categorical,0.02647994161369399,stable,11,172988,162570
raw,validation,dti,numeric,0.03473858948434039,stable,10,172988,162570
raw,validation,delinq_2yrs,numeric,0.016739964092383416,stable,2,172988,162570
raw,validation,earliest_cr_line,numeric,0.014035329142394668,stable,10,172988,162570
raw,validation,fico_range_low,numeric,0.07335385152284432,stable,10,172988,162570
raw,validation,inq_last_6mths,numeric,0.0026570453372099048,stable,3,172988,162570
raw,validation,mths_since_last_delinq,numeric,0.042121915730890025,stable,10,172988,162570
raw,validation,mths_since_last_record,numeric,0.1506640071025312,attention,10,172988,162570
raw,validation,open_acc,numeric,0.026682562536305347,stable,10,172988,162570
raw,validation,pub_rec,numeric,0.0,stable,1,172988,162570
raw,validation,revol_bal,numeric,0.009134813896825082,stable,10,172988,162570
raw,validation,revol_util,numeric,0.024495642575814564,stable,10,172988,162570
raw,validation,total_acc,numeric,0.02401003357750461,stable,10,172988,162570
raw,validation,initial_list_status,categorical,0.42867366229251613,unstable,2,172988,162570
raw,validation,collections_12_mths_ex_med,numeric,0.0,stable,1,172988,162570
raw,validation,mths_since_last_major_derog,numeric,0.13481425472367406,attention,10,172988,162570
raw,validation,application_type,categorical,0.0,stable,1,172988,162570
raw,validation,acc_now_delinq,numeric,0.0,stable,1,172988,162570
raw,validation,tot_coll_amt,numeric,3.86961899673979,unstable,1,172988,162570
raw,validation,tot_cur_bal,numeric,3.872961184315473,unstable,10,172988,162570
raw,validation,total_rev_hi_lim,numeric,3.8814965164939808,unstable,10,172988,162570
raw,validation,acc_open_past_24mths,numeric,2.555107897991412,unstable,8,172988,162570
raw,validation,avg_cur_bal,numeric,2.850324576929475,unstable,10,172988,162570
raw,validation,bc_open_to_buy,numeric,0.634371259140075,unstable,10,172988,162570
raw,validation,bc_util,numeric,0.6337639693340944,unstable,10,172988,162570
raw,validation,chargeoff_within_12_mths,numeric,0.0,stable,1,172988,162570
raw,validation,delinq_amnt,numeric,0.0,stable,1,172988,162570
raw,validation,mo_sin_old_il_acct,numeric,0.7598134307349572,unstable,10,172988,162570
raw,validation,mo_sin_old_rev_tl_op,numeric,3.8796993466007454,unstable,10,172988,162570
raw,validation,mo_sin_rcnt_rev_tl_op,numeric,3.882813803978249,unstable,10,172988,162570
raw,validation,mo_sin_rcnt_tl,numeric,3.8846847176354173,unstable,10,172988,162570
raw,validation,mort_acc,numeric,2.5300642861284772,unstable,5,172988,162570
raw,validation,mths_since_recent_bc,numeric,0.6778986208891283,unstable,10,172988,162570
raw,validation,mths_since_recent_bc_dlq,numeric,0.07088791540012682,stable,10,172988,162570
raw,validation,mths_since_recent_inq,numeric,0.2826924568100294,unstable,10,172988,162570
raw,validation,mths_since_recent_revol_delinq,numeric,0.07629207006458055,stable,10,172988,162570
raw,validation,num_accts_ever_120_pd,numeric,3.887415940287839,unstable,2,172988,162570
raw,validation,num_actv_bc_tl,numeric,3.8747615166462097,unstable,7,172988,162570
raw,validation,num_actv_rev_tl,numeric,3.8716450355944003,unstable,9,172988,162570
raw,validation,num_bc_sats,numeric,3.091942638491954,unstable,7,172988,162570
raw,validation,num_bc_tl,numeric,3.883165810182979,unstable,10,172988,162570
raw,validation,num_il_tl,numeric,3.881773674684077,unstable,10,172988,162570
raw,validation,num_op_rev_tl,numeric,3.8757053747760186,unstable,9,172988,162570
raw,validation,num_rev_accts,numeric,3.876896173568651,unstable,10,172988,162570
raw,validation,num_rev_tl_bal_gt_0,numeric,3.8716135192924614,unstable,9,172988,162570
raw,validation,num_sats,numeric,3.0924996183698155,unstable,10,172988,162570
raw,validation,num_tl_120dpd_2m,numeric,0.6075707302597909,unstable,1,172988,162570
raw,validation,num_tl_30dpd,numeric,3.86961899673979,unstable,1,172988,162570
raw,validation,num_tl_90g_dpd_24m,numeric,3.86961899673979,unstable,1,172988,162570
raw,validation,num_tl_op_past_12m,numeric,3.8906083450697313,unstable,5,172988,162570
raw,validation,pct_tl_nvr_dlq,numeric,3.8936343306033203,unstable,5,172988,162570
raw,validation,percent_bc_gt_75,numeric,0.6374055271839767,unstable,7,172988,162570
raw,validation,pub_rec_bankruptcies,numeric,0.0,stable,1,172988,162570
raw,validation,tax_liens,numeric,0.0,stable,1,172988,162570
raw,validation,tot_hi_cred_lim,numeric,3.8726207119096903,unstable,10,172988,162570
raw,validation,total_bal_ex_mort,numeric,2.5419274239338105,unstable,10,172988,162570
raw,validation,total_bc_limit,numeric,2.54412338775179,unstable,10,172988,162570
raw,validation,total_il_high_credit_limit,numeric,3.8873868214359732,unstable,9,172988,162570
raw,validation,emp_length_anos,numeric,0.018234666426576958,stable,8,172988,162570
raw,validation,era_pre_2012,numeric,0.0,stable,1,172988,162570
raw,validation,mths_since_last_delinq_missing,numeric,0.0,stable,1,172988,162570
raw,validation,mths_since_last_record_missing,numeric,0.0,stable,1,172988,162570
raw,validation,mths_since_recent_bc_dlq_missing,numeric,0.0,stable,1,172988,162570
raw,validation,mths_since_recent_revol_delinq_missing,numeric,0.0,stable,1,172988,162570
raw,validation,mths_since_last_major_derog_missing,numeric,0.0,stable,1,172988,162570
raw,validation,emp_length_missing,numeric,0.0,stable,1,172988,162570
raw,validation,mths_since_recent_inq_missing,numeric,0.0,stable,1,172988,162570
raw,validation,num_tl_120dpd_2m_missing,numeric,0.0,stable,1,172988,162570
raw,validation,sparse_bureau_missing,numeric,0.0,stable,1,172988,162570
raw,validation,installment_to_income,numeric,0.004139971872228451,stable,10,172988,162570
